code,oricode
E02000247,5
E02000248,-8
E02000249,1
E02000250,2
E02000251,3
E02000252,4
E02000253,5
E02000254,-8
E02000255,1
E02000256,2
E02000258,3
E02000259,4
E02000260,5
E02000261,-8
E02000262,1
E02000263,2
E02000264,3
E02000265,4
E02000266,5
E02000267,-8
E02000268,1
E02000269,2
E02000270,3
E02000271,4
E02000272,5
E02000275,-8
E02000276,1
E02000277,2
E02000278,3
E02000279,4
E02000280,5
E02000281,-8
E02000283,1
E02000284,2
E02000285,3
E02000286,4
E02000287,5
E02000288,-8
E02000289,1
E02000290,2
E02000291,3
E02000292,4
E02000293,5
E02000294,-8
E02000295,1
E02000296,2
E02000297,3
E02000298,4
E02000299,5
E02000300,-8
E02000301,1
E02000302,2
E02000303,3
E02000304,4
E02000305,5
E02000306,-8
E02000307,1
E02000308,2
E02000309,3
E02000311,4
E02000313,5
E02000314,-8
E02000315,1
E02000317,2
E02000318,3
E02000319,4
E02000320,5
E02000321,-8
E02000323,1
E02000324,2
E02000326,3
E02000327,4
E02000328,5
E02000329,-8
E02000331,1
E02000332,2
E02000333,3
E02000334,4
E02000337,5
E02000339,-8
E02000340,1
E02000341,2
E02000342,3
E02000343,4
E02000344,5
E02000345,-8
E02000346,1
E02000347,2
E02000348,3
E02000350,4
E02000351,5
E02000352,-8
E02000353,1
E02000354,2
E02000355,3
E02000356,4
E02000357,5
E02000358,-8
E02000359,1
E02000360,2
E02000361,3
E02000362,4
E02000363,5
E02000364,-8
E02000366,1
E02000367,2
E02000368,3
E02000369,4
E02000370,5
E02000372,-8
E02000373,1
E02000374,2
E02000375,3
E02000376,4
E02000377,5
E02000378,-8
E02000379,1
E02000380,2
E02000381,3
E02000382,4
E02000383,5
E02000384,-8
E02000385,1
E02000386,2
E02000387,3
E02000388,4
E02000389,5
E02000390,-8
E02000391,1
E02000392,2
E02000393,3
E02000394,4
E02000395,5
E02000396,-8
E02000397,1
E02000398,2
E02000400,3
E02000401,4
E02000402,5
E02000403,-8
E02000404,1
E02000405,2
E02000406,3
E02000407,4
E02000408,5
E02000409,-8
E02000410,1
E02000411,2
E02000412,3
E02000413,4
E02000415,5
E02000416,-8
E02000417,1
E02000418,2
E02000419,3
E02000420,4
E02000421,5
E02000422,-8
E02000423,1
E02000424,2
E02000425,3
E02000426,4
E02000427,5
E02000428,-8
E02000429,1
E02000430,2
E02000431,3
E02000432,4
E02000433,5
E02000434,-8
E02000435,1
E02000436,2
E02000437,3
E02000438,4
E02000439,5
E02000440,-8
E02000441,1
E02000442,2
E02000443,3
E02000444,4
E02000445,5
E02000447,-8
E02000448,1
E02000449,2
E02000451,3
E02000452,4
E02000454,5
E02000455,-8
E02000456,1
E02000457,2
E02000459,3
E02000460,4
E02000461,5
E02000462,-8
E02000463,1
E02000465,2
E02000466,3
E02000467,4
E02000468,5
E02000469,-8
E02000470,1
E02000471,2
E02000472,3
E02000473,4
E02000474,5
E02000475,-8
E02000477,1
E02000478,2
E02000479,3
E02000480,4
E02000481,5
E02000482,-8
E02000483,1
E02000484,2
E02000485,3
E02000486,4
E02000487,5
E02000488,-8
E02000489,1
E02000490,2
E02000491,3
E02000492,4
E02000493,5
E02000494,-8
E02000495,1
E02000496,2
E02000497,3
E02000498,4
E02000499,5
E02000500,-8
E02000501,1
E02000502,2
E02000503,3
E02000504,4
E02000506,5
E02000507,-8
E02000508,1
E02000509,2
E02000510,3
E02000512,4
E02000513,5
E02000514,-8
E02000515,1
E02000516,2
E02000517,3
E02000518,4
E02000519,5
E02000521,-8
E02000522,1
E02000523,2
E02000524,3
E02000526,4
E02000529,5
E02000530,-8
E02000531,1
E02000532,2
E02000533,3
E02000534,4
E02000535,5
E02000536,-8
E02000537,1
E02000538,2
E02000539,3
E02000540,4
E02000541,5
E02000542,-8
E02000543,1
E02000544,2
E02000545,3
E02000546,4
E02000547,5
E02000548,-8
E02000549,1
E02000550,2
E02000551,3
E02000552,4
E02000553,5
E02000554,-8
E02000555,1
E02000556,2
E02000558,3
E02000559,4
E02000560,5
E02000561,-8
E02000562,1
E02000563,2
E02000564,3
E02000565,4
E02000566,5
E02000567,-8
E02000568,1
E02000569,2
E02000570,3
E02000571,4
E02000572,5
E02000573,-8
E02000574,1
E02000575,2
E02000576,3
E02000577,4
E02000578,5
E02000579,-8
E02000580,1
E02000581,2
E02000582,3
E02000583,4
E02000584,5
E02000585,-8
E02000586,1
E02000587,2
E02000588,3
E02000589,4
E02000590,5
E02000591,-8
E02000592,1
E02000593,2
E02000594,3
E02000595,4
E02000596,5
E02000597,-8
E02000598,1
E02000599,2
E02000600,3
E02000601,4
E02000602,5
E02000603,-8
E02000604,1
E02000605,2
E02000606,3
E02000607,4
E02000608,5
E02000609,-8
E02000610,1
E02000611,2
E02000612,3
E02000613,4
E02000614,5
E02000615,-8
E02000616,1
E02000617,2
E02000619,3
E02000620,4
E02000621,5
E02000622,-8
E02000623,1
E02000624,2
E02000625,3
E02000626,4
E02000627,5
E02000628,-8
E02000629,1
E02000630,2
E02000631,3
E02000632,4
E02000633,5
E02000634,-8
E02000635,1
E02000636,2
E02000637,3
E02000638,4
E02000639,5
E02000640,-8
E02000641,1
E02000642,2
E02000643,3
E02000644,4
E02000645,5
E02000646,-8
E02000647,1
E02000648,2
E02000649,3
E02000650,4
E02000651,5
E02000652,-8
E02000653,1
E02000654,2
E02000655,3
E02000657,4
E02000658,5
E02000659,-8
E02000660,1
E02000661,2
E02000662,3
E02000663,4
E02000665,5
E02000666,-8
E02000667,1
E02000668,2
E02000669,3
E02000670,4
E02000671,5
E02000672,-8
E02000673,1
E02000674,2
E02000675,3
E02000676,4
E02000677,5
E02000678,-8
E02000679,1
E02000680,2
E02000681,3
E02000682,4
E02000683,5
E02000685,-8
E02000686,1
E02000687,2
E02000689,3
E02000690,4
E02000691,5
E02000692,-8
E02000693,1
E02000694,2
E02000695,3
E02000696,4
E02000697,5
E02000698,-8
E02000699,1
E02000700,2
E02000701,3
E02000702,4
E02000703,5
E02000704,-8
E02000705,1
E02000706,2
E02000707,3
E02000708,4
E02000709,5
E02000710,-8
E02000711,1
E02000712,2
E02000713,3
E02000714,4
E02000715,5
E02000716,-8
E02000717,1
E02000718,2
E02000719,3
E02000720,4
E02000721,5
E02000722,-8
E02000723,1
E02000724,2
E02000725,3
E02000727,4
E02000728,5
E02000729,-8
E02000730,1
E02000731,2
E02000732,3
E02000733,4
E02000734,5
E02000735,-8
E02000736,1
E02000737,2
E02000739,3
E02000740,4
E02000741,5
E02000742,-8
E02000743,1
E02000744,2
E02000745,3
E02000746,4
E02000747,5
E02000748,-8
E02000749,1
E02000751,2
E02000752,3
E02000753,4
E02000754,5
E02000755,-8
E02000756,1
E02000757,2
E02000758,3
E02000759,4
E02000760,5
E02000762,-8
E02000763,1
E02000764,2
E02000765,3
E02000767,4
E02000768,5
E02000770,-8
E02000772,1
E02000773,2
E02000774,3
E02000776,4
E02000777,5
E02000779,-8
E02000781,1
E02000782,2
E02000783,3
E02000784,4
E02000785,5
E02000786,-8
E02000787,1
E02000788,2
E02000789,3
E02000791,4
E02000792,5
E02000793,-8
E02000794,1
E02000795,2
E02000796,3
E02000797,4
E02000798,5
E02000801,-8
E02000802,1
E02000803,2
E02000805,3
E02000806,4
E02000808,5
E02000810,-8
E02000812,1
E02000813,2
E02000814,3
E02000815,4
E02000816,5
E02000817,-8
E02000818,1
E02000819,2
E02000820,3
E02000821,4
E02000822,5
E02000823,-8
E02000824,1
E02000825,2
E02000826,3
E02000827,4
E02000828,5
E02000829,-8
E02000830,1
E02000831,2
E02000832,3
E02000833,4
E02000834,5
E02000836,-8
E02000837,1
E02000838,2
E02000839,3
E02000841,4
E02000842,5
E02000843,-8
E02000844,1
E02000845,2
E02000846,3
E02000847,4
E02000848,5
E02000849,-8
E02000850,1
E02000851,2
E02000852,3
E02000853,4
E02000854,5
E02000855,-8
E02000856,1
E02000857,2
E02000858,3
E02000859,4
E02000860,5
E02000861,-8
E02000863,1
E02000864,2
E02000865,3
E02000867,4
E02000868,5
E02000869,-8
E02000870,1
E02000871,2
E02000872,3
E02000873,4
E02000874,5
E02000875,-8
E02000876,1
E02000877,2
E02000878,3
E02000879,4
E02000880,5
E02000881,-8
E02000882,1
E02000883,2
E02000884,3
E02000885,4
E02000886,5
E02000887,-8
E02000888,1
E02000889,2
E02000890,3
E02000893,4
E02000894,5
E02000895,-8
E02000896,1
E02000897,2
E02000898,3
E02000899,4
E02000900,5
E02000902,-8
E02000903,1
E02000904,2
E02000905,3
E02000906,4
E02000907,5
E02000908,-8
E02000909,1
E02000910,2
E02000911,3
E02000912,4
E02000913,5
E02000914,-8
E02000915,1
E02000916,2
E02000917,3
E02000918,4
E02000919,5
E02000920,-8
E02000921,1
E02000922,2
E02000923,3
E02000925,4
E02000926,5
E02000927,-8
E02000928,1
E02000929,2
E02000930,3
E02000931,4
E02000932,5
E02000933,-8
E02000934,1
E02000935,2
E02000936,3
E02000937,4
E02000938,5
E02000939,-8
E02000940,1
E02000941,2
E02000942,3
E02000943,4
E02000944,5
E02000945,-8
E02000946,1
E02000947,2
E02000948,3
E02000949,4
E02000950,5
E02000951,-8
E02000952,1
E02000953,2
E02000954,3
E02000955,4
E02000956,5
E02000957,-8
E02000958,1
E02000959,2
E02000960,3
E02000961,4
E02000962,5
E02000963,-8
E02000964,1
E02000965,2
E02000966,3
E02000967,4
E02000968,5
E02000969,-8
E02000970,1
E02000971,2
E02000973,3
E02000975,4
E02000976,5
E02000977,-8
E02000978,1
E02000979,2
E02000980,3
E02000981,4
E02000982,5
E02000983,-8
E02000984,1
E02000985,2
E02000986,3
E02000987,4
E02000988,5
E02000989,-8
E02000990,1
E02000991,2
E02000992,3
E02000993,4
E02000994,5
E02000995,-8
E02000996,1
E02000997,2
E02000998,3
E02000999,4
E02001000,5
E02001001,-8
E02001002,1
E02001003,2
E02001004,3
E02001005,4
E02001006,5
E02001007,-8
E02001008,1
E02001009,2
E02001010,3
E02001011,4
E02001012,5
E02001013,-8
E02001014,1
E02001015,2
E02001016,3
E02001017,4
E02001018,5
E02001019,-8
E02001020,1
E02001021,2
E02001022,3
E02001023,4
E02001024,5
E02001025,-8
E02001026,1
E02001027,2
E02001029,3
E02001030,4
E02001031,5
E02001032,-8
E02001033,1
E02001034,2
E02001035,3
E02001036,4
E02001037,5
E02001038,-8
E02001039,1
E02001040,2
E02001041,3
E02001042,4
E02001043,5
E02001044,-8
E02001045,1
E02001046,2
E02001047,3
E02001048,4
E02001049,5
E02001050,-8
E02001051,1
E02001052,2
E02001053,3
E02001055,4
E02001056,5
E02001061,-8
E02001062,1
E02001063,2
E02001064,3
E02001065,4
E02001066,5
E02001067,-8
E02001068,1
E02001069,2
E02001070,3
E02001072,4
E02001073,5
E02001074,-8
E02001075,1
E02001076,2
E02001077,3
E02001078,4
E02001079,5
E02001080,-8
E02001081,1
E02001082,2
E02001083,3
E02001084,4
E02001085,5
E02001086,-8
E02001087,1
E02001088,2
E02001089,3
E02001090,4
E02001091,5
E02001092,-8
E02001093,1
E02001094,2
E02001095,3
E02001096,4
E02001097,5
E02001098,-8
E02001099,1
E02001100,2
E02001101,3
E02001102,4
E02001103,5
E02001104,-8
E02001105,1
E02001106,2
E02001107,3
E02001108,4
E02001109,5
E02001110,-8
E02001111,1
E02001112,2
E02001113,3
E02001114,4
E02001115,5
E02001116,-8
E02001117,1
E02001118,2
E02001119,3
E02001121,4
E02001124,5
E02001125,-8
E02001126,1
E02001127,2
E02001128,3
E02001129,4
E02001130,5
E02001132,-8
E02001133,1
E02001134,2
E02001135,3
E02001136,4
E02001137,5
E02001138,-8
E02001139,1
E02001140,2
E02001141,3
E02001142,4
E02001143,5
E02001144,-8
E02001145,1
E02001146,2
E02001147,3
E02001148,4
E02001149,5
E02001150,-8
E02001151,1
E02001152,2
E02001153,3
E02001154,4
E02001155,5
E02001156,-8
E02001157,1
E02001158,2
E02001159,3
E02001160,4
E02001161,5
E02001162,-8
E02001164,1
E02001165,2
E02001166,3
E02001167,4
E02001168,5
E02001169,-8
E02001170,1
E02001171,2
E02001173,3
E02001174,4
E02001175,5
E02001176,-8
E02001177,1
E02001179,2
E02001180,3
E02001181,4
E02001182,5
E02001183,-8
E02001185,1
E02001186,2
E02001187,3
E07000173,4
E07000173,5
E07000174,-8
E07000174,1
E07000174,2
E07000174,3
E07000174,4
E07000174,5
E07000175,-8
E07000175,1
E07000175,2
E07000175,3
E07000175,4
E07000175,5
E07000176,-8
E07000176,1
E07000176,2
E07000176,3
E07000176,4
E07000176,5
E07000177,-8
E07000177,1
E07000177,2
E07000177,3
E07000177,4
E07000177,5
E07000178,-8
E07000178,1
E07000178,2
E07000178,3
E07000178,4
E07000178,5
E07000179,-8
E07000179,1
E07000179,2
E07000179,3
E07000179,4
E07000179,5
E07000180,-8
E07000180,1
E07000180,2
E07000180,3
E07000180,4
E07000180,5
E07000181,-8
E07000181,1
E07000181,2
E07000181,3
E07000181,4
E07000181,5
E07000187,-8
E07000187,1
E07000187,2
E07000187,3
E07000187,4
E07000187,5
E07000188,-8
E07000188,1
E07000188,2
E07000188,3
E07000188,4
E07000188,5
E07000189,-8
E07000189,1
E07000189,2
E07000189,3
E07000189,4
E07000189,5
E07000192,-8
E07000192,1
E07000192,2
E07000192,3
E07000192,4
E07000192,5
E07000193,-8
E07000193,1
E07000193,2
E07000193,3
E07000193,4
E07000193,5
E07000194,-8
E07000194,1
E07000194,2
E07000194,3
E07000194,4
E07000194,5
E07000195,-8
E07000195,1
E07000195,2
E07000195,3
E07000195,4
E07000195,5
E07000196,-8
E07000196,1
E07000196,2
E07000196,3
E07000196,4
E07000196,5
E07000197,-8
E07000197,1
E07000197,2
E07000197,3
E07000197,4
E07000197,5
E07000198,-8
E07000198,1
E07000198,2
E07000198,3
E07000198,4
E07000198,5
E07000199,-8
E07000199,1
E07000199,2
E07000199,3
E07000199,4
E07000199,5
E07000200,-8
E07000200,1
E07000200,2
E07000200,3
E07000200,4
E07000200,5
E07000202,-8
E07000202,1
E07000202,2
E07000202,3
E07000202,4
E07000202,5
E07000203,-8
E07000203,1
E07000203,2
E07000203,3
E07000203,4
E07000203,5
E07000207,-8
E07000207,1
E07000207,2
E07000207,3
E07000207,4
E07000207,5
E07000208,-8
E07000208,1
E07000208,2
E07000208,3
E07000208,4
E07000208,5
E07000209,-8
E07000209,1
E07000209,2
E07000209,3
E07000209,4
E07000209,5
E07000210,-8
E07000210,1
E07000210,2
E07000210,3
E07000210,4
E07000210,5
E07000211,-8
E07000211,1
E07000211,2
E07000211,3
E07000211,4
E07000211,5
E07000212,-8
E07000212,1
E07000212,2
E07000212,3
E07000212,4
E07000212,5
E07000213,-8
E07000213,1
E07000213,2
E07000213,3
E07000213,4
E07000213,5
E07000214,-8
E07000214,1
E07000214,2
E07000214,3
E07000214,4
E07000214,5
E07000215,-8
E07000215,1
E07000215,2
E07000215,3
E07000215,4
E07000215,5
E07000216,-8
E07000216,1
E07000216,2
E07000216,3
E07000216,4
E07000216,5
E07000217,-8
E07000217,1
E07000217,2
E07000217,3
E07000217,4
E07000217,5
E07000218,-8
E07000218,1
E07000218,2
E07000218,3
E07000218,4
E07000218,5
E07000219,-8
E07000219,1
E07000219,2
E07000219,3
E07000219,4
E07000219,5
E07000220,-8
E07000220,1
E07000220,2
E07000220,3
E07000220,4
E07000220,5
E07000221,-8
E07000221,1
E07000221,2
E07000221,3
E07000221,4
E07000221,5
E07000222,-8
E07000222,1
E07000222,2
E07000222,3
E07000222,4
E07000222,5
E07000223,-8
E07000223,1
E07000223,2
E07000223,3
E07000223,4
E07000223,5
E07000224,-8
E07000224,1
E07000224,2
E07000224,3
E07000224,4
E07000224,5
E07000225,-8
E07000225,1
E07000225,2
E07000225,3
E07000225,4
E07000225,5
E07000226,-8
E07000226,1
E07000226,2
E07000226,3
E07000226,4
E07000226,5
E07000227,-8
E07000227,1
E07000227,2
E07000227,3
E07000227,4
E07000227,5
E07000228,-8
E07000228,1
E07000228,2
E07000228,3
E07000228,4
E07000228,5
E07000229,-8
E07000229,1
E07000229,2
E07000229,3
E07000229,4
E07000229,5
E07000234,-8
E07000234,1
E07000234,2
E07000234,3
E07000234,4
E07000234,5
E07000235,-8
E07000235,1
E07000235,2
E07000235,3
E07000235,4
E07000235,5
E07000236,-8
E07000236,1
E07000236,2
E07000236,3
E07000236,4
E07000236,5
E07000237,-8
E07000237,1
E07000237,2
E07000237,3
E07000237,4
E07000237,5
E07000238,-8
E07000238,1
E07000238,2
E07000238,3
E07000238,4
E07000238,5
E07000239,-8
E07000239,1
E07000239,2
E07000239,3
E07000239,4
E07000239,5
E07000240,-8
E07000240,1
E07000240,2
E07000240,3
E07000240,4
E07000240,5
E07000241,-8
E07000241,1
E07000241,2
E07000241,3
E07000241,4
E07000241,5
E07000242,-8
E07000242,1
E07000242,2
E07000242,3
E07000242,4
E07000242,5
E07000243,-8
E07000243,1
E07000243,2
E07000243,3
E07000243,4
E07000243,5
E07000244,-8
E07000244,1
E07000244,2
E07000244,3
E07000244,4
E07000244,5
E07000245,-8
E07000245,1
E07000245,2
E07000245,3
E07000245,4
E07000245,5
E07000246,-8
E07000246,1
E07000246,2
E07000246,3
E07000246,4
E07000246,5
E08000001,-8
E08000001,1
E08000001,2
E08000001,3
E08000001,4
E08000001,5
E08000002,-8
E08000002,1
E08000002,2
E08000002,3
E08000002,4
E08000002,5
E08000003,-8
E08000003,1
E08000003,2
E08000003,3
E08000003,4
E08000003,5
E08000004,-8
E08000004,1
E08000004,2
E08000004,3
E08000004,4
E08000004,5
E08000005,-8
E08000005,1
E08000005,2
E08000005,3
E08000005,4
E08000005,5
E08000006,-8
E08000006,1
E08000006,2
E08000006,3
E08000006,4
E08000006,5
E08000007,-8
E08000007,1
E08000007,2
E08000007,3
E08000007,4
E08000007,5
E08000008,-8
E08000008,1
E08000008,2
E08000008,3
E08000008,4
E08000008,5
E08000009,-8
E08000009,1
E08000009,2
E08000009,3
E08000009,4
E08000009,5
E08000010,-8
E08000010,1
E08000010,2
E08000010,3
E08000010,4
E08000010,5
E08000011,-8
E08000011,1
E08000011,2
E08000011,3
E08000011,4
E08000011,5
E08000012,-8
E08000012,1
E08000012,2
E08000012,3
E08000012,4
E08000012,5
E08000013,-8
E08000013,1
E08000013,2
E08000013,3
E08000013,4
E08000013,5
E08000014,-8
E08000014,1
E08000014,2
E08000014,3
E08000014,4
E08000014,5
E08000015,-8
E08000015,1
E08000015,2
E08000015,3
E08000015,4
E08000015,5
E08000016,-8
E08000016,1
E08000016,2
E08000016,3
E08000016,4
E08000016,5
E08000017,-8
E08000017,1
E08000017,2
E08000017,3
E08000017,4
E08000017,5
E08000018,-8
E08000018,1
E08000018,2
E08000018,3
E08000018,4
E08000018,5
E08000019,-8
E08000019,1
E08000019,2
E08000019,3
E08000019,4
E08000019,5
E08000021,-8
E08000021,1
E08000021,2
E08000021,3
E08000021,4
E08000021,5
E08000022,-8
E08000022,1
E08000022,2
E08000022,3
E08000022,4
E08000022,5
E08000023,-8
E08000023,1
E08000023,2
E08000023,3
E08000023,4
E08000023,5
E08000024,-8
E08000024,1
E08000024,2
E08000024,3
E08000024,4
E08000024,5
E08000025,-8
E08000025,1
E08000025,2
E08000025,3
E08000025,4
E08000025,5
E08000026,-8
E08000026,1
E08000026,2
E08000026,3
E08000026,4
E08000026,5
E08000027,-8
E08000027,1
E08000027,2
E08000027,3
E08000027,4
E08000027,5
E08000028,-8
E08000028,1
E08000028,2
E08000028,3
E08000028,4
E08000028,5
E08000029,-8
E08000029,1
E08000029,2
E08000029,3
E08000029,4
E08000029,5
E08000030,-8
E08000030,1
E08000030,2
E08000030,3
E08000030,4
E08000030,5
E08000031,-8
E08000031,1
E08000031,2
E08000031,3
E08000031,4
E08000031,5
E08000032,-8
E08000032,1
E08000032,2
E08000032,3
E08000032,4
E08000032,5
E08000033,-8
E08000033,1
E08000033,2
E08000033,3
E08000033,4
E08000033,5
E08000034,-8
E08000034,1
E08000034,2
E08000034,3
E08000034,4
E08000034,5
E08000035,-8
E08000035,1
E08000035,2
E08000035,3
E08000035,4
E08000035,5
E08000036,-8
E08000036,1
E08000036,2
E08000036,3
E08000036,4
E08000036,5
E08000037,-8
E08000037,1
E08000037,2
E08000037,3
E08000037,4
E08000037,5
E09000001,-8
E09000001,1
E09000001,2
E09000001,3
E09000001,4
E09000001,5
E09000002,-8
E09000002,1
E09000002,2
E09000002,3
E09000002,4
E09000002,5
E09000003,-8
E09000003,1
E09000003,2
E09000003,3
E09000003,4
E09000003,5
E09000004,-8
E09000004,1
E09000004,2
E09000004,3
E09000004,4
E09000004,5
E09000005,-8
E09000005,1
E09000005,2
E09000005,3
E09000005,4
E09000005,5
E09000006,-8
E09000006,1
E09000006,2
E09000006,3
E09000006,4
E09000006,5
E09000007,-8
E09000007,1
E09000007,2
E09000007,3
E09000007,4
E09000007,5
E09000008,-8
E09000008,1
E09000008,2
E09000008,3
E09000008,4
E09000008,5
E09000009,-8
E09000009,1
E09000009,2
E09000009,3
E09000009,4
E09000009,5
E09000010,-8
E09000010,1
E09000010,2
E09000010,3
E09000010,4
E09000010,5
E09000011,-8
E09000011,1
E09000011,2
E09000011,3
E09000011,4
E09000011,5
E09000012,-8
E09000012,1
E09000012,2
E09000012,3
E09000012,4
E09000012,5
E09000013,-8
E09000013,1
E09000013,2
E09000013,3
E09000013,4
E09000013,5
E09000014,-8
E09000014,1
E09000014,2
E09000014,3
E09000014,4
E09000014,5
E09000015,-8
E09000015,1
E09000015,2
E09000015,3
E09000015,4
E09000015,5
E09000016,-8
E09000016,1
E09000016,2
E09000016,3
E09000016,4
E09000016,5
E09000017,-8
E09000017,1
E09000017,2
E09000017,3
E09000017,4
E09000017,5
E09000018,-8
E09000018,1
E09000018,2
E09000018,3
E09000018,4
E09000018,5
E09000019,-8
E09000019,1
E09000019,2
E09000019,3
E09000019,4
E09000019,5
E09000020,-8
E09000020,1
E09000020,2
E09000020,3
E09000020,4
E09000020,5
E09000021,-8
E09000021,1
E09000021,2
E09000021,3
E09000021,4
E09000021,5
E09000022,-8
E09000022,1
E09000022,2
E09000022,3
E09000022,4
E09000022,5
E09000023,-8
E09000023,1
E09000023,2
E09000023,3
E09000023,4
E09000023,5
E09000024,-8
E09000024,1
E09000024,2
E09000024,3
E09000024,4
E09000024,5
E09000025,-8
E09000025,1
E09000025,2
E09000025,3
E09000025,4
E09000025,5
E09000026,-8
E09000026,1
E09000026,2
E09000026,3
E09000026,4
E09000026,5
E09000027,-8
E09000027,1
E09000027,2
E09000027,3
E09000027,4
E09000027,5
E09000028,-8
E09000028,1
E09000028,2
E09000028,3
E09000028,4
E09000028,5
E09000029,-8
E09000029,1
E09000029,2
E09000029,3
E09000029,4
E09000029,5
E09000030,-8
E09000030,1
E09000030,2
E09000030,3
E09000030,4
E09000030,5
E09000031,-8
E09000031,1
E09000031,2
E09000031,3
E09000031,4
E09000031,5
E09000032,-8
E09000032,1
E09000032,2
E09000032,3
E09000032,4
E09000032,5
E09000033,-8
E09000033,1
E09000033,2
E09000033,3
E09000033,4
E09000033,5
W06000001,-8
W06000001,1
W06000001,2
W06000001,3
W06000001,4
W06000001,5
W06000002,-8
W06000002,1
W06000002,2
W06000002,3
W06000002,4
W06000002,5
W06000003,-8
W06000003,1
W06000003,2
W06000003,3
W06000003,4
W06000003,5
W06000004,-8
W06000004,1
W06000004,2
W06000004,3
W06000004,4
W06000004,5
W06000005,-8
W06000005,1
W06000005,2
W06000005,3
W06000005,4
W06000005,5
W06000006,-8
W06000006,1
W06000006,2
W06000006,3
W06000006,4
W06000006,5
W06000008,-8
W06000008,1
W06000008,2
W06000008,3
W06000008,4
W06000008,5
W06000009,-8
W06000009,1
W06000009,2
W06000009,3
W06000009,4
W06000009,5
W06000010,-8
W06000010,1
W06000010,2
W06000010,3
W06000010,4
W06000010,5
W06000011,-8
W06000011,1
W06000011,2
W06000011,3
W06000011,4
W06000011,5
W06000012,-8
W06000012,1
W06000012,2
W06000012,3
W06000012,4
W06000012,5
W06000013,-8
W06000013,1
W06000013,2
W06000013,3
W06000013,4
W06000013,5
W06000014,-8
W06000014,1
W06000014,2
W06000014,3
W06000014,4
W06000014,5
W06000015,-8
W06000015,1
W06000015,2
W06000015,3
W06000015,4
W06000015,5
W06000016,-8
W06000016,1
W06000016,2
W06000016,3
W06000016,4
W06000016,5
W06000018,-8
W06000018,1
W06000018,2
W06000018,3
W06000018,4
W06000018,5
W06000019,-8
